# COG	func	name
COG1272	U	Predicted membrane channel-forming protein YqfA, hemolysin III family
COG1273	L	Non-homologous end joining protein Ku, dsDNA break repair
COG1274	C	Phosphoenolpyruvate carboxykinase, GTP-dependent
COG1275	V	Tellurite resistance protein TehA and related permeases
COG1276	P	Putative copper export protein
COG1277	O	ABC-type transport system involved in multi-copper enzyme maturation, permease component
COG1278	K	Cold shock protein, CspA family
COG1279	E	Arginine exporter protein ArgO
COG1280	E	Threonine/homoserine/homoserine lactone efflux protein
COG1281	O	Redox-regulated molecular chaperone, HSP33 family
COG1282	C	NAD/NADP transhydrogenase beta subunit
COG1283	P	Na+/phosphate symporter
COG1284	S	Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains
COG1285	S	Uncharacterized membrane protein YhiD, involved in acid resistance
COG1286	S	Uncharacterized membrane protein, required for colicin V production
COG1287	O	Asparagine N-glycosylation enzyme, membrane subunit Stt3
COG1288	R	Uncharacterized membrane protein YfcC, ion transporter superfamily
COG1289	S	Uncharacterized membrane protein YccC
COG1290	C	Cytochrome b subunit of the bc complex
COG1291	N	Flagellar motor component MotA
COG1292	M	Choline-glycine betaine transporter
COG1293	J	Predicted component of the ribosome quality control (RQC) complex, YloA/Tae2 family, contains fibronectin-binding (FbpA) and DUF814 domains
COG1294	C	Cytochrome bd-type quinol oxidase, subunit 2
COG1295	S	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)
COG1296	E	Predicted branched-chain amino acid permease (azaleucine resistance)
COG1297	S	Uncharacterized membrane protein, oligopeptide transporter (OPT) family
COG1298	N	Flagellar biosynthesis pathway, component FlhA
COG1299	G	Phosphotransferase system, fructose-specific IIC component
COG1300	D	Uncharacterized membrane protein SpoIIM, required for sporulation
COG1301	C	Na+/H+-dicarboxylate symporter
COG1302	S	Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family
COG1303	R	Predicted rRNA methylase, SpoU family
COG1304	CIR	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase
COG1305	O	Transglutaminase-like enzyme, putative cysteine protease
COG1306	S	Uncharacterized protein
COG1307	I	Fatty acid-binding protein DegV (function unknown)
COG1308	K	Transcription factor homologous to NACalpha-BTF3
COG1309	K	DNA-binding transcriptional regulator, AcrR family
COG1310	O	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif
COG1311	L	Archaeal DNA polymerase II, small subunit/DNA polymerase delta, subunit B
COG1312	G	D-mannonate dehydratase
COG1313	R	Uncharacterized Fe-S protein PflX, radical SAM superfamily
COG1314	U	Preprotein translocase subunit SecG
COG1315	S	Uncharacterized conserved protein, DUF342 family
COG1316	M	Anionic cell wall polymer biosynthesis enzyme,  LytR-Cps2A-Psr (LCP) family
COG1317	NU	Flagellar biosynthesis/type III secretory pathway protein FliH
COG1318	K	Predicted transcriptional regulator
COG1319	C	CO or xanthine dehydrogenase, FAD-binding subunit
COG1320	P	Multisubunit Na+/H+ antiporter, MnhG subunit
COG1321	K	Mn-dependent transcriptional regulator, DtxR family
COG1322	L	DNA anti-recombination protein (rearrangement mutator) RmuC
COG1323	R	Predicted nucleotidyltransferase
COG1324	P	Uncharacterized protein involved in tolerance to divalent cations
COG1325	J	Exosome subunit, RNA binding protein with dsRBD fold
COG1326	R	Uncharacterized archaeal Zn-finger protein
COG1327	K	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains
COG1328	F	Anaerobic ribonucleoside-triphosphate reductase
COG1329	K	RNA polymerase-interacting regulator, CarD/CdnL/TRCF family
COG1330	L	Exonuclease V gamma subunit
COG1331	R	Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains
COG1332	V	CRISPR/Cas system CSM-associated protein Csm5, group 7 of RAMP superfamily
COG1333	CO	Cytochrome c biogenesis protein ResB
COG1334	R	Uncharacterized conserved protein, FlaG/YvyC family
COG1335	HR	Nicotinamidase-related amidase
COG1336	V	CRISPR/Cas system CMR subunit Cmr4, Cas7 group, RAMP superfamily
COG1337	V	CRISPR/Cas system CSM-associated protein Csm3, group 7 of RAMP superfamily
COG1338	N	Flagellar biosynthetic protein FliP
COG1339	H	Archaeal CTP-dependent riboflavin kinase
COG1340	S	Uncharacterized coiled-coil protein, contains DUF342 domain
COG1341	J	Polynucleotide 5'-kinase, involved in rRNA processing
COG1342	R	Predicted DNA-binding protein, UPF0251 family
COG1343	V	CRISPR/Cas system-associated endoribonuclease Cas2
COG1344	N	Flagellin and related hook-associated protein FlgL
COG1345	N	Flagellar capping protein FliD
COG1346	M	Putative effector of murein hydrolase
COG1347	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD
COG1348	P	Nitrogenase subunit NifH, an ATPase
COG1349	KG	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family
COG1350	E	Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB)
COG1351	F	Thymidylate synthase ThyX
COG1352	NT	Methylase of chemotaxis methyl-accepting proteins
COG1353	V	CRISPR/Cas system-associated protein Cas10, large subunit of type III CRISPR-Cas systems, contains HD superfamily nuclease domain
COG1354	L	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family
COG1355	R	Predicted class III extradiol dioxygenase, MEMO1 family
COG1356	K	Transcriptional regulator
COG1357	S	Uncharacterized protein YjbI, contains pentapeptide repeats
COG1358	J	Ribosomal protein L7Ae or related RNA K-turn-binding protein
COG1359	C	Quinol monooxygenase YgiN
COG1360	N	Flagellar motor protein MotB
COG1361	S	Uncharacterized conserved protein
COG1362	E	Aspartyl aminopeptidase
COG1363	EG	Putative aminopeptidase FrvX
COG1364	E	N-acetylglutamate synthase (N-acetylornithine aminotransferase)
COG1365	R	Predicted ATPase, PP-loop superfamily
COG1366	T	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)
COG1367	V	CRISPR/Cas system CMR-associated protein Cmr1, group 7 of RAMP superfamily
COG1368	M	Phosphoglycerol transferase MdoB or a related enzyme of AlkP superfamily
COG1369	J	RNase P/RNase MRP subunit POP5
COG1370	J	tRNA-guanine transglycosylase, archaeosine-15-forming
COG1371	R	SHS2 domain protein implicated in nucleic acid metabolism
COG1372	LX	Intein/homing endonuclease
COG1373	R	Predicted ATPase, AAA+ superfamily
COG1374	J	Rbosome biogenesis protein Nip4, contains PUA domain
COG1376	M	Lipoprotein-anchoring transpeptidase ErfK/SrfK
COG1377	N	Flagellar biosynthesis protein FlhB
COG1378	K	Sugar-specific transcriptional regulator TrmB
COG1379	R	PHP family phosphoesterase with a Zn ribbon
COG1380	R	Putative effector of murein hydrolase LrgA, UPF0299 family
COG1381	L	Recombinational DNA repair protein (RecF pathway)
COG1382	O	Prefoldin, chaperonin cofactor
COG1383	J	Ribosomal protein S17E
COG1384	J	Lysyl-tRNA synthetase, class I
COG1385	J	16S rRNA U1498 N3-methylase RsmE
COG1386	K	Chromosome segregation and condensation protein ScpB
COG1387	ER	Histidinol phosphatase or related hydrolase of the PHP family
COG1388	M	LysM repeat
COG1389	L	DNA topoisomerase VI, subunit B
COG1390	C	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4
COG1391	O	Glutamine synthetase adenylyltransferase
COG1392	S	Uncharacterized conserved protein YkaA, distantly related to PhoU, UPF0111/DUF47 family
COG1393	P	Arsenate reductase and related proteins, glutaredoxin family
COG1394	C	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8
COG1395	K	Predicted transcriptional regulator
COG1396	K	Transcriptional regulator, contains XRE-family HTH domain
COG1397	O	ADP-ribosylglycohydrolase
COG1398	I	Fatty-acid desaturase
COG1399	S	Uncharacterized metal-binding protein YceD, DUF177 family
COG1400	U	Signal recognition particle subunit SEC65
COG1401	V	5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB
COG1402	HQ	 Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis
COG1403	V	5-methylcytosine-specific restriction endonuclease McrA
COG1404	O	Serine protease, subtilisin family
COG1405	K	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB
COG1406	N	Chemotaxis protein CheX, a CheY~P-specific phosphatase
COG1407	R	Metallophosphoesterase superfamily enzyme
COG1408	R	Predicted phosphohydrolase, MPP superfamily
COG1409	T	3',5'-cyclic AMP phosphodiesterase CpdA
COG1410	E	Methionine synthase I, cobalamin-binding domain
COG1411	R	Uncharacterized protein related to proFAR isomerase (HisA)
COG1412	J	rRNA-processing protein FCF1
COG1413	R	HEAT repeat
COG1414	K	DNA-binding transcriptional regulator, IclR family
COG1415	S	Uncharacterized protein
COG1416	P	Intracellular sulfur oxidation protein, DsrE/DsrF family
COG1417	S	Uncharacterized protein
COG1418	JR	HD superfamily phosphodieaserase, includes HD domain of RNase Y
COG1419	N	Flagellar biosynthesis GTPase FlhF
COG1420	K	Transcriptional regulator of heat shock response
COG1421	V	CRISPR/Cas system CSM-associated protein Csm2, small subunit
COG1422	S	Uncharacterized archaeal membrane protein, DUF106 family, distantly related to YidC/Oxa1
COG1423	L	ATP-dependent RNA circularization protein, DNA/RNA ligase (PAB1020)  family
COG1424	H	Pimeloyl-CoA synthetase
COG1426	D	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains
COG1427	R	Predicted periplasmic solute-binding protein
COG1428	F	Deoxyadenosine/deoxycytidine kinase
COG1429	H	Cobalamin biosynthesis protein CobN, Mg-chelatase
COG1430	S	Uncharacterized conserved membrane protein, UPF0127 family
COG1431	JV	Argonaute homolog, implicated in RNA metabolism and viral defense
COG1432	S	Uncharacterized conserved protein, LabA/DUF88 family
COG1433	O	Predicted Fe-Mo cluster-binding protein, NifX family
COG1434	R	Uncharacterized SAM-binding protein YcdF, DUF218 family
COG1435	F	Thymidine kinase
COG1436	C	Archaeal/vacuolar-type H+-ATPase subunit F/Vma7
COG1437	TR	Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function)
COG1438	K	Arginine repressor
COG1439	J	rRNA maturation endonuclease Nob1
COG1440	G	Phosphotransferase system cellobiose-specific component IIB
COG1441	H	O-succinylbenzoate synthase
COG1442	M	Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase
COG1443	I	Isopentenyldiphosphate isomerase
COG1444	J	tRNA(Met) C34 N-acetyltransferase TmcA
COG1445	G	Phosphotransferase system fructose-specific component IIB
COG1446	E	Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily
COG1447	G	Phosphotransferase system cellobiose-specific component IIA
COG1448	E	Aspartate/tyrosine/aromatic aminotransferase
COG1449	G	Alpha-amylase/alpha-mannosidase, GH57 family
COG1450	U	Type II secretory pathway component GspD/PulD (secretin)
COG1451	R	Predicted metal-dependent hydrolase
COG1452	M	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)
COG1453	R	Predicted oxidoreductase of the aldo/keto reductase family
COG1454	C	Alcohol dehydrogenase, class IV
COG1455	G	Phosphotransferase system cellobiose-specific component IIC
COG1456	C	CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)
COG1457	F	Purine-cytosine permease or related protein
COG1458	R	Predicted DNA-binding protein containing PIN domain, UPF0278 family
COG1459	NUW	Type II secretory pathway, component PulF
COG1460	K	DNA-directed RNA polymerase, subunit F
COG1461	R	Predicted kinase related to dihydroxyacetone kinase
COG1462	M	Curli biogenesis system outer membrane secretion channel CsgG
COG1463	M	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, periplasmic component MlaD
COG1464	P	ABC-type metal ion transport system, periplasmic component/surface antigen
COG1465	E	3-dehydroquinate synthase, class II
COG1466	L	DNA polymerase III, delta subunit
COG1467	L	Eukaryotic-type DNA primase, catalytic (small) subunit
COG1468	V	CRISPR/Cas system-associated exonuclease Cas4, RecB family
COG1469	H	GTP cyclohydrolase FolE2
COG1470	S	Uncharacterized membrane protein
COG1471	J	Ribosomal protein S4E
COG1472	G	Periplasmic beta-glucosidase and related glycosidases
COG1473	R	Metal-dependent amidase/aminoacylase/carboxypeptidase
COG1474	L	Cdc6-related protein, AAA superfamily ATPase
COG1475	D	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain
COG1476	K	DNA-binding transcriptional regulator, XRE-family HTH domain
COG1477	H	Thiamine biosynthesis lipoprotein ApbE
COG1478	H	F420-0:Gamma-glutamyl ligase (F420 biosynthesis)
COG1479	S	Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains
COG1480	R	Membrane-associated HD superfamily phosphohydrolase
COG1481	K	DNA-binding transcriptional regulator WhiA, involved in cell division
COG1482	G	Mannose-6-phosphate isomerase, class I
COG1483	R	Predicted ATPase, AAA+ superfamily
COG1484	L	DNA replication protein DnaC
COG1485	R	Predicted ATPase
COG1486	G	Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase
COG1487	R	Predicted nucleic acid-binding protein, contains PIN domain
COG1488	H	Nicotinic acid phosphoribosyltransferase
COG1489	GT	DNA-binding protein, stimulates sugar fermentation
COG1490	J	D-Tyr-tRNAtyr deacylase
COG1491	R	Predicted nucleic acid-binding OB-fold protein
COG1492	H	Cobyric acid synthase
COG1493	T	Serine kinase of the HPr protein, regulates carbohydrate metabolism
COG1494	G	Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein
COG1495	O	Disulfide bond formation protein DsbB
COG1496	P	Copper oxidase (laccase) domain
COG1497	K	Predicted transcriptional regulator
COG1498	J	RNA processing factor Prp31, contains Nop domain
COG1499	J	NMD protein affecting ribosome stability and mRNA decay
COG1500	J	Ribosome maturation protein Sdo1
COG1501	G	Alpha-glucosidase, glycosyl hydrolase family GH31
COG1502	I	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme
COG1503	J	Peptide chain release factor 1 (eRF1)
COG1504	S	Uncharacterized protein
COG1505	E	Prolyl oligopeptidase PreP, S9A serine peptidase family
COG1506	E	Dipeptidyl aminopeptidase/acylaminoacyl peptidase
COG1507	S	Uncharacterized protein
COG1508	K	DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog
COG1509	E	L-lysine 2,3-aminomutase (EF-P beta-lysylation pathway)
COG1510	K	DNA-binding transcriptional regulator GbsR, MarR family
COG1511	S	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family
COG1512	S	Uncharacterized membrane protein YgcG, contains a TPM-fold domain
COG1513	P	Cyanate lyase
COG1514	J	2'-5' RNA ligase
COG1515	L	Deoxyinosine 3'endonuclease (endonuclease V)
COG1516	NU	Flagellin-specific chaperone FliS
COG1517	V	CRISPR/Cas system-associated protein Csx1, contains CARF domain
COG1518	V	CRISPR/Cas system-associated endonuclease Cas1
COG1519	M	3-deoxy-D-manno-octulosonic-acid transferase
COG1520	M	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat
COG1521	H	Pantothenate kinase type III
COG1522	K	DNA-binding transcriptional regulator, Lrp family
COG1523	G	Pullulanase/glycogen debranching enzyme
COG1524	R	Predicted pyrophosphatase or phosphodiesterase, AlkP superfamily
COG1525	L	Endonuclease YncB, thermonuclease family
COG1526	C	Formate dehydrogenase assembly factor FdhD
COG1527	C	Archaeal/vacuolar-type H+-ATPase subunit C/Vma6
COG1528	P	Ferritin
COG1529	C	CO or xanthine dehydrogenase, Mo-binding subunit
COG1530	J	Ribonuclease G or E
COG1531	S	Uncharacterized protein, UPF0248 family
COG1532	R	Predicted RNA-binding protein
COG1533	L	DNA repair photolyase
COG1534	J	RNA-binding protein YhbY
COG1535	Q	Isochorismate hydrolase
COG1536	N	Flagellar motor switch protein FliG
COG1537	J	Stalled ribosome rescue protein Dom34, pelota family
COG1538	M	Outer membrane protein TolC
COG1539	H	Dihydroneopterin aldolase
COG1540	R	Lactam utilization protein B (function unknown)
COG1541	H	Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family
COG1542	S	Uncharacterized protein
COG1543	G	Predicted glycosyl hydrolase, contains GH57 and DUF1957 domains
COG1544	J	Ribosome-associated translation inhibitor RaiA
COG1545	R	Uncharacterized OB-fold protein, contains Zn-ribbon domain
COG1546	H	Nicotinamide mononucleotide (NMN) deamidase PncC
COG1547	S	Predicted metal-dependent hydrolase
COG1548	S	Uncharacterized protein, hydantoinase/oxoprolinase family
COG1549	R	Predicted RNA-binding protein, contains uracil-DNA-glycosylase-like and PUA domains
COG1550	S	Uncharacterized conserved protein YlxP, DUF503 family
COG1551	T	sRNA-binding carbon storage regulator CsrA
COG1552	J	Ribosomal protein L40E
COG1553	P	Sulfur relay (sulfurtransferase) complex TusBCD TusD component, DsrE family
COG1554	G	Trehalose and maltose hydrolase (possible phosphorylase)
COG1555	L	DNA uptake protein ComE and related DNA-binding proteins
COG1556	C	L-lactate utilization protein LutC, contains LUD domain
COG1558	N	Flagellar basal body rod protein FlgC
COG1559	D	Cell division protein YceG, involved in septum cleavage
COG1560	I	Lauroyl/myristoyl acyltransferase
COG1561	S	Uncharacterized conserved protein YicC, UPF0701 family
COG1562	I	Phytoene/squalene synthetase
COG1563	R	Uncharacterized MnhB-related membrane protein
COG1564	H	Thiamine pyrophosphokinase
COG1565	R	SAM-dependent methyltransferase, MidA family
COG1566	V	Multidrug resistance efflux pump
COG1567	V	CRISPR/Cas system CSM-associated protein Csm4, group 5 of RAMP superfamily
COG1568	R	Predicted methyltransferase
COG1569	R	Predicted nucleic acid-binding protein, contains PIN domain
COG1570	L	Exonuclease VII, large subunit
COG1571	J	tRNA(Ile2) C34 agmatinyltransferase TiaS
COG1572	O	Serine protease, subtilase family
COG1573	L	Uracil-DNA glycosylase
COG1574	R	Predicted amidohydrolase YtcJ
COG1575	H	1,4-dihydroxy-2-naphthoate octaprenyltransferase
COG1576	J	23S rRNA pseudoU1915 N3-methylase RlmH
COG1577	I	Mevalonate kinase
COG1578	S	Uncharacterized conserved protein, contains ATP-grasp and redox domains
COG1579	R	Predicted  nucleic acid-binding protein, contains Zn-ribbon domain
COG1580	N	Flagellar basal body-associated protein FliL
COG1581	K	Archaeal DNA-binding protein
COG1582	R	Uncharacterized protein YlzI, FlbEa/FlbD family
COG1583	V	CRISPR/Cas system endoribonuclease Cas6, RAMP superfamily
COG1584	C	Succinate-acetate transporter protein
COG1585	O	Membrane protein implicated in regulation of membrane protease activity
COG1586	E	S-adenosylmethionine decarboxylase or arginine decarboxylase
COG1587	H	Uroporphyrinogen-III synthase
COG1588	J	RNase P/RNase MRP subunit p29
COG1589	D	Cell division septal protein FtsQ
COG1590	J	tRNA(Phe) wybutosine-synthesizing methylase Tyw3
COG1591	L	Holliday junction resolvase, archaeal type
COG1592	C	Rubrerythrin
COG1593	G	TRAP-type C4-dicarboxylate transport system, large permease component
COG1594	K	DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS
COG1595	K	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family
COG1596	M	Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold
COG1597	IR	Diacylglycerol kinase family enzyme
COG1598	V	Predicted nuclease of the RNAse H fold, HicB family
COG1599	L	ssDNA-binding replication factor A, large subunit
COG1600	J	Epoxyqueuosine reductase  QueG (queuosine biosynthesis)
COG1601	J	Translation initiation factor 2, beta subunit (eIF-2beta)/eIF-5 N-terminal domain
COG1602	S	Uncharacterized protein
COG1603	J	RNase P/RNase MRP subunit p30
COG1604	V	CRISPR/Cas system CMR subunit Cmr6, Cas7 group, RAMP superfamily
COG1605	E	Chorismate mutase
COG1606	R	ATP-utilizing enzyme, PP-loop superfamily
COG1607	I	Acyl-CoA hydrolase
COG1608	I	Isopentenyl phosphate kinase
COG1609	K	DNA-binding transcriptional regulator, LacI/PurR family
COG1610	S	Uncharacterized conserved protein YqeY
COG1611	R	Predicted Rossmann fold nucleotide-binding protein
COG1612	H	Heme A synthase
COG1613	P	ABC-type sulfate transport system, periplasmic component
COG1614	C	CO dehydrogenase/acetyl-CoA synthase beta subunit
COG1615	S	Uncharacterized membrane protein, UPF0182 family
COG1617	J	tRNA threonylcarbamoyladenosine modification (KEOPS) complex,  Cgi121 subunit
COG1618	F	Nucleoside-triphosphatase THEP1
COG1619	M	Muramoyltetrapeptide carboxypeptidase LdcA (peptidoglycan recycling)
COG1620	C	L-lactate permease
COG1621	G	Sucrose-6-phosphate hydrolase SacC, GH32 family
COG1622	C	Heme/copper-type cytochrome/quinol oxidase, subunit 2
COG1623	T	Diadenylate cyclase (c-di-AMP synthetase), DNA integrity scanning protein DisA
COG1624	T	Diadenylate cyclase (c-di-AMP synthetase), DisA_N domain
COG1625	C	Fe-S oxidoreductase, related to NifB/MoaA family
COG1626	G	Neutral trehalase
COG1627	S	Uncharacterized protein
COG1628	R	Endonuclease V homolog, UPF0215 family
COG1629	P	Outer membrane receptor proteins, mostly Fe transport
COG1630	L	NurA 5'-3' nuclease
COG1631	J	Ribosomal protein L44E
COG1632	J	Ribosomal protein L15E
COG1633	P	Rubrerythrin
COG1634	S	Uncharacterized Rossmann fold enzyme
COG1635	H	Archaeal ribulose 1,5-bisphosphate synthetase/yeast thiazole synthase
COG1636	R	Predicted ATPase, Adenine nucleotide alpha hydrolases (AANH) superfamily
COG1637	L	Endonuclease NucS, RecB family
COG1638	G	TRAP-type C4-dicarboxylate transport system, periplasmic component
COG1639	T	HD-like signal output (HDOD) domain, no enzymatic activity
COG1640	G	4-alpha-glucanotransferase
COG1641	S	Uncharacterized conserved protein, DUF111 family
COG1643	J	HrpA-like RNA helicase
COG1644	K	DNA-directed RNA polymerase, subunit N (RpoN/RPB10)
COG1645	R	Uncharacterized Zn-finger containing protein, UPF0148 family
COG1646	I	Heptaprenylglyceryl phosphate synthase
COG1647	Q	Esterase/lipase
COG1648	H	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)
COG1649	S	Uncharacterized lipoprotein YddW, UPF0748 family
COG1650	J	D-tyrosyl-tRNA(Tyr) deacylase
COG1651	O	Protein-disulfide isomerase
COG1652	S	Nucleoid-associated protein YgaU, contains BON and LysM domains
COG1653	G	ABC-type glycerol-3-phosphate transport system, periplasmic component
COG1654	K	Biotin operon repressor
COG1655	S	Uncharacterized protein, DUF2225 family
COG1656	S	Uncharacterized conserved protein, contains PIN domain
COG1657	I	Squalene cyclase
COG1658	J	5S rRNA maturation endonuclease (Ribonuclease M5), contains TOPRIM domain
COG1659	S	Uncharacterized protein, linocin/CFP29 family
COG1660	T	RNase adaptor protein for sRNA GlmZ degradation, contains a P-loop ATPase domain
COG1661	R	Predicted DNA-binding protein with PD1-like DNA-binding motif
COG1662	X	Transposase and inactivated derivatives, IS1 family
COG1663	M	Tetraacyldisaccharide-1-P 4'-kinase
COG1664	Z	Cytoskeletal protein CcmA, bactofilin family
COG1665	R	Predicted nucleotidyltransferase
COG1666	S	Uncharacterized conserved protein YajQ, UPF0234 family
COG1667	S	Uncharacterized protein
COG1668	CP	ABC-type Na+ efflux pump, permease component
COG1669	R	Predicted nucleotidyltransferase
COG1670	JO	Protein N-acetyltransferase, RimJ/RimL family
COG1671	S	Uncharacterized conserved protein YaiI, UPF0178 family
COG1672	R	Predicted ATPase, archaeal AAA+ ATPase superfamily
COG1673	R	Predicted RNA-binding protein, contains PUA-like EVE domain
COG1674	D	DNA segregation ATPase FtsK/SpoIIIE and related proteins
COG1675	K	Transcription initiation factor IIE, alpha subunit
COG1676	J	tRNA splicing endonuclease
COG1677	N	Flagellar hook-basal body complex protein FliE
COG1678	K	Putative transcriptional regulator, AlgH/UPF0301 family
COG1679	C	Predicted aconitase
COG1680	V	CubicO group peptidase, beta-lactamase class C family
COG1681	N	Archaellin (archaeal flagellin)
COG1682	GM	ABC-type polysaccharide/polyol phosphate export permease
COG1683	S	Uncharacterized conserved protein YbbK, DUF523 family
COG1684	N	Flagellar biosynthesis protein FliR
COG1685	E	Archaeal shikimate kinase
COG1686	M	D-alanyl-D-alanine carboxypeptidase
COG1687	E	Branched-chain amino acid transport protein AzlD
COG1688	V	CRISPR/Cas system-associated protein Cas5, RAMP superfamily
COG1689	S	Uncharacterized protein
COG1690	J	RNA-splicing ligase RtcB, repairs tRNA damage
COG1691	F	NCAIR mutase (PurE)-related protein
COG1692	R	Calcineurin-like phosphoesterase
COG1693	K	Repressor of nif and glnA expression
COG1694	V	NTP pyrophosphatase, house-cleaning of non-canonical NTPs
COG1695	K	DNA-binding transcriptional regulator, PadR family
COG1696	M	D-alanyl-lipoteichoic acid acyltransferase DltB, MBOAT superfamily
COG1697	L	DNA topoisomerase VI, subunit A
COG1698	S	Uncharacterized protein, UPF0147 family
COG1699	N	Flagellar assembly factor FliW
COG1700	V	Predicted component of virus defense system, contains PD-(D/E)xK nuclease domain, DUF524
COG1701	H	Archaeal phosphopantothenate synthetase
COG1702	T	Phosphate starvation-inducible protein PhoH, predicted ATPase
COG1703	O	Putative periplasmic protein kinase ArgK or related GTPase of G3E family
COG1704	S	Uncharacterized conserved protein
COG1705	MN	Flagellum-specific peptidoglycan hydrolase FlgJ
COG1706	N	Flagellar basal body P-ring protein FlgI
COG1707	R	Uncharacterized protein, contains ACT and thioredoxin-like domains
COG1708	R	Predicted nucleotidyltransferase
COG1709	K	Predicted transcriptional regulator
COG1710	S	Uncharacterized protein
COG1711	L	DNA replication initiation complex subunit, GINS family
COG1712	R	Predicted dinucleotide-utilizing enzyme
COG1713	R	HD superfamily phosphohydrolase YqeK (fused to NMNAT in mycoplasms)
COG1714	S	Uncharacterized membrane protein YckC, RDD family
COG1715	V	Restriction endonuclease Mrr
COG1716	T	Forkhead associated (FHA) domain, binds pSer, pThr, pTyr
COG1717	J	Ribosomal protein L32E
COG1718	T	Serine/threonine-protein kinase RIO1
COG1719	R	Predicted hydrocarbon binding protein, contains 4VR domain
COG1720	J	tRNA (Thr-GGU) A37 N-methylase
COG1721	S	Uncharacterized conserved protein, DUF58 family, contains vWF domain
COG1722	L	Exonuclease VII small subunit
COG1723	S	Uncharacterized protein, Rmd1/YagE family
COG1724	R	Predicted RNA binding protein YcfA, dsRBD-like fold, HicA-like mRNA interferase family
COG1725	K	DNA-binding transcriptional regulator YhcF, GntR family
COG1726	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA
COG1727	J	Ribosomal protein L18E
COG1728	S	Uncharacterized protein YaaR, TM1646/DUF327 family
COG1729	R	Periplasmic TolA-binding protein (function unknown)
COG1730	O	Prefoldin subunit 5
COG1731	H	Archaeal riboflavin synthase
COG1732	M	Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)
COG1733	K	DNA-binding transcriptional regulator, HxlR family
COG1734	J	RNA polymerase-binding transcription factor DksA
COG1735	R	Predicted metal-dependent hydrolase, phosphotriesterase family
COG1736	J	Diphthamide synthase subunit DPH2
COG1737	K	DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains
COG1738	S	Uncharacterized PurR-regulated membrane protein YhhQ, DUF165 family
COG1739	R	Putative translation regulator, IMPACT (imprinted ancient) protein family
COG1740	C	Ni,Fe-hydrogenase I small subunit
COG1741	R	Redox-sensitive bicupin YhaK, pirin superfamily
COG1742	R	Uncharacterized inner membrane protein YnfA, drug/metabolite transporter superfamily
COG1743	L	Adenine-specific DNA methylase, contains a Zn-ribbon domain
COG1744	M	Basic membrane lipoprotein Med, periplasmic binding protein (PBP1-ABC) superfamily
COG1745	S	Uncharacterized protein
COG1746	J	tRNA nucleotidyltransferase (CCA-adding enzyme)
COG1747	S	Uncharacterized N-terminal domain of the transcription elongation factor GreA
COG1748	E	Saccharopine dehydrogenase, NADP-dependent
COG1749	N	Flagellar hook protein FlgE
COG1750	R	Predicted archaeal serine protease, S18 family
COG1751	S	Uncharacterized protein
